id,name,artist,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5eIB5RjmpZTE2S83gvekvz,B Me,Stray Kids,IN LIFE,2020-09-14,205102,57,0.675,0.856,11,-2.354,0,0.12,0.0158,0.0,0.251,0.867,149.972,4
5S7kMbtEikXwCAHMu3R3jw,Any,Stray Kids,IN LIFE,2020-09-14,169140,61,0.879,0.868,3,-3.113,0,0.0632,0.0309,0.0,0.107,0.419,110.054,4
4y7C13wqDLE7xuilBsLNvd,Ex,Stray Kids,IN LIFE,2020-09-14,217225,60,0.677,0.729,5,-3.546,1,0.0715,0.481,0.0,0.167,0.388,90.072,4
5GhuFbB6NjKzehvws0GGUP,"We Go (Bang Chan, Changbin, HAN)",Stray Kids,IN LIFE,2020-09-14,157483,58,0.647,0.944,5,-3.947,0,0.0424,0.0652,0.0,0.0845,0.287,174.027,4
2i15lsdOIZb9PpuAFKO58Y,"Wow (Lee Know, Hyunjin, Felix)",Stray Kids,IN LIFE,2020-09-14,193811,61,0.731,0.723,8,-5.955,0,0.0678,0.0037,0.0,0.068,0.534,127.921,4
4a2TlUwtrzLwjcHe1vPvj9,"My Universe (Seungmin, I.N)",Stray Kids,IN LIFE,2020-09-14,203424,56,0.673,0.794,1,-3.664,1,0.0549,0.0741,0.0,0.132,0.349,92.038,4
41BTPMEIhFBAqij6IUnyzb,God’s Menu,Stray Kids,IN LIFE,2020-09-14,167922,52,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,4
4lQGQuedW0yyrq1mGL3RMr,Easy,Stray Kids,IN LIFE,2020-09-14,183134,49,0.701,0.812,6,-5.175,0,0.0602,0.000219,1.03e-05,0.471,0.388,144.1,4
1QChR5f7Yavg2fA7Q11jdk,Pacemaker,Stray Kids,IN LIFE,2020-09-14,190602,44,0.795,0.874,2,-3.602,1,0.0601,0.0219,0.0,0.114,0.497,100.024,4
5wj0RESJiZI9HXnvXx2hvs,Airplane,Stray Kids,IN LIFE,2020-09-14,214726,44,0.796,0.813,5,-3.116,0,0.207,0.0756,0.0,0.0428,0.858,156.047,4
6fsrtPKAPL1erRl4oeDnOf,Another Day,Stray Kids,IN LIFE,2020-09-14,166968,44,0.848,0.453,2,-10.234,0,0.126,0.422,3.67e-05,0.333,0.54,94.991,4
16Xt6aWyMW5Ugb3nfsInJ3,Phobia,Stray Kids,IN LIFE,2020-09-14,212618,44,0.681,0.923,1,-3.387,1,0.042,0.0491,0.0,0.0769,0.551,141.996,4
55Nq3mwhH1p1FjDAzttnIN,Blueprint,Stray Kids,IN LIFE,2020-09-14,251300,45,0.744,0.77,7,-4.54,1,0.0599,0.0591,0.0,0.287,0.606,109.977,4
5u1H4quQm0W3sYP2OqvFIJ,TA,Stray Kids,IN LIFE,2020-09-14,208657,46,0.639,0.957,7,-3.157,1,0.236,0.00262,0.0,0.367,0.487,126.031,4
1cO6v3YyMx1BAULiUyDy8z,Haven,Stray Kids,IN LIFE,2020-09-14,199671,44,0.677,0.95,6,-3.535,0,0.0708,0.0529,0.0,0.102,0.593,129.973,4
65AJTgtczHH8LjbCfauT4n,GO LIVE,Stray Kids,GO LIVE,2020-06-17,110621,53,0.656,0.869,9,-7.606,1,0.102,0.0318,0.0688,0.0781,0.115,153.967,4
4XPXrcpyNr30Km6aPiflJy,God’s Menu,Stray Kids,GO LIVE,2020-06-17,167922,75,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,4
4s9diT9GXpI7QiysMkoANG,Easy,Stray Kids,GO LIVE,2020-06-17,183134,65,0.701,0.812,6,-5.175,0,0.0602,0.000219,1.03e-05,0.471,0.388,144.1,4
4MHeQ9324LT2oNH1cu2l4Z,Pacemaker,Stray Kids,GO LIVE,2020-06-17,190602,56,0.795,0.874,2,-3.602,1,0.0601,0.0219,0.0,0.114,0.497,100.024,4
74nVZpjqAjZvuOWmu3I6o5,Airplane,Stray Kids,GO LIVE,2020-06-17,214726,57,0.796,0.813,5,-3.116,0,0.207,0.0756,0.0,0.0428,0.858,156.047,4
30YeoWowzWypZNSl6WNXAR,Another Day,Stray Kids,GO LIVE,2020-06-17,166968,59,0.848,0.453,2,-10.234,0,0.126,0.422,3.67e-05,0.333,0.54,94.991,4
1KC5Y3kIiHvEDdinY0OcRL,Phobia,Stray Kids,GO LIVE,2020-06-17,212618,57,0.681,0.923,1,-3.387,1,0.042,0.0491,0.0,0.0769,0.551,141.996,4
2JzOF5Ex1BfufuZ6DgvOPe,Blueprint,Stray Kids,GO LIVE,2020-06-17,251300,58,0.744,0.77,7,-4.54,1,0.0599,0.0591,0.0,0.287,0.606,109.977,4
1DOBBWtkabIjo955KkMLuQ,TA,Stray Kids,GO LIVE,2020-06-17,208657,58,0.639,0.957,7,-3.157,1,0.236,0.00262,0.0,0.367,0.487,126.031,4
1B960zmIFgde0TflN2q8Au,Haven,Stray Kids,GO LIVE,2020-06-17,199671,56,0.677,0.95,6,-3.535,0,0.0708,0.0529,0.0,0.102,0.593,129.973,4
4yosBfkEtlSLxH7n4PonsI,"TOP - ""Tower of God"" OP",Stray Kids,GO LIVE,2020-06-17,185552,57,0.615,0.941,7,-2.71,1,0.131,0.00316,0.0,0.237,0.247,97.924,4
7clTWebfXxZG2lQYe24luY,"SLUMP - ""Tower of God"" ED",Stray Kids,GO LIVE,2020-06-17,134792,56,0.608,0.873,7,-3.844,1,0.168,0.166,0.0,0.493,0.655,160.048,4
6hN2ugioAqMYH1GAjKJg6l,Mixtape : Gone Days,Stray Kids,GO LIVE,2020-06-17,194885,56,0.897,0.818,1,-4.74,1,0.0668,0.139,0.0,0.0465,0.875,135.029,4
6KIMwt89RFhB1iuUgHjXui,Mixtape : On Track,Stray Kids,GO LIVE,2020-06-17,208143,57,0.441,0.761,1,-3.472,1,0.1,0.178,0.0,0.523,0.615,171.288,3
552ixkxUI6snTyEcZUlYRN,STOP,Stray Kids,Clé : LEVANTER,2019-12-09,189513,52,0.772,0.862,4,-6.213,0,0.121,0.158,0.000582,0.193,0.196,128.025,4
3FYDQbIBLGEo3vOt65CSvc,Double Knot,Stray Kids,Clé : LEVANTER,2019-12-09,191546,56,0.752,0.738,5,-5.341,0,0.365,0.0541,0.0,0.526,0.585,146.944,4
3pfykZzHS6Zj5M9XH2yNY2,Levanter,Stray Kids,Clé : LEVANTER,2019-12-09,197706,56,0.56,0.695,9,-4.697,1,0.0588,0.00753,0.0,0.534,0.358,149.95,4
7wXRIqYoEZfNRsDs6pHcVO,Booster,Stray Kids,Clé : LEVANTER,2019-12-09,220648,53,0.655,0.877,1,-4.929,1,0.0925,0.0724,0.0,0.349,0.812,150.05,4
6vFqT0V376294bWF00nKdN,Astronaut,Stray Kids,Clé : LEVANTER,2019-12-09,180053,53,0.739,0.84,1,-6.555,0,0.104,0.0189,0.0,0.183,0.627,120.05,4
3GYmjbJ1EU4TOMEYuVMXu0,Sunshine,Stray Kids,Clé : LEVANTER,2019-12-09,222284,56,0.725,0.655,0,-5.763,0,0.0674,0.0835,0.0,0.157,0.492,143.018,4
4YQel4FiTWYHUn6TXMCuPa,You Can STAY,Stray Kids,Clé : LEVANTER,2019-12-09,208443,54,0.73,0.757,8,-7.042,1,0.0542,0.0153,0.0,0.111,0.356,94.986,4
514oWwgLFEyQfT2KvEyWW2,Road Not Taken,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,95762,48,0.718,0.913,4,-4.195,0,0.129,0.272,0.00112,0.116,0.322,128.088,4
1Y2HN48G6Bkm4V3csQncJP,Side Effects,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,193852,59,0.444,0.977,2,-1.736,1,0.145,0.0219,0.0,0.0545,0.118,129.975,4
1422xh2MWFcQmA73DYu8Pr,TMT,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,207382,45,0.798,0.852,2,-3.225,1,0.0593,0.055,0.0,0.0821,0.6,131.98,4
6UhOswUV9JvRetBnEzMSOW,Mixtape#1,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,252933,46,0.796,0.759,3,-3.613,1,0.0809,0.0338,0.0,0.0805,0.498,99.991,4
5fO3kEdjqnYDbYT0ME7SXg,Mixtape#2,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,291844,49,0.602,0.504,3,-5.56,1,0.0707,0.525,0.0,0.219,0.482,173.96,4
6vLnqMPrANIoJ9SpEmgxXl,Mixtape#3,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,257853,46,0.761,0.644,1,-7.35,1,0.0424,0.24,0.0,0.237,0.585,114.044,4
32QcDEOqmohzKUwTXRe82f,Mixtape#4,Stray Kids,Clé 2 : Yellow Wood,2019-06-19,231463,47,0.682,0.92,7,-3.168,0,0.184,0.0501,0.0,0.228,0.512,98.056,4
4Ikreq8yMoSmWFVsm2s8KB,Entrance,Stray Kids,Clé 1 : MIROH,2019-03-25,98760,43,0.664,0.788,1,-6.046,1,0.0376,0.0287,0.204,0.118,0.604,106.006,4
2sFWzfV3kqAwXEWM9BjzwH,MIROH,Stray Kids,Clé 1 : MIROH,2019-03-25,207617,66,0.564,0.979,9,-3.102,1,0.104,0.0091,0.0,0.249,0.505,126.059,4
6wXK7TjV2M3qnirQkAW3SU,Victory Song,Stray Kids,Clé 1 : MIROH,2019-03-25,196384,56,0.757,0.734,7,-4.535,1,0.0783,0.00426,0.0,0.183,0.499,103.046,4
2RuDEoJwqAmQknGXf9tnOL,Maze of Memories,Stray Kids,Clé 1 : MIROH,2019-03-25,175175,51,0.699,0.699,10,-4.049,0,0.273,0.194,0.0,0.108,0.0893,129.892,4
71PvMm5FkgzzLgaGZ43b8S,Boxer,Stray Kids,Clé 1 : MIROH,2019-03-25,200513,50,0.677,0.905,2,-3.421,1,0.105,0.00731,0.0,0.291,0.405,104.92,4
3C516RGJ7ADQpL04Nzhfjz,Chronosaurus,Stray Kids,Clé 1 : MIROH,2019-03-25,198671,49,0.502,0.874,2,-3.781,1,0.13,0.261,0.0,0.185,0.389,200.09,4
2Xc08tEA2sQsunrkLeJJ2D,19,Stray Kids,Clé 1 : MIROH,2019-03-25,205517,48,0.78,0.653,10,-5.107,1,0.175,0.39,0.0,0.093,0.397,105.185,4
3BJvGfUfRwXGbqQcIJOeDO,YOU.,Stray Kids,I am YOU,2018-10-22,78834,44,0.506,0.967,9,-5.349,0,0.217,0.014,0.000534,0.354,0.241,169.977,4
7hB5sBKw7oYRf9zCb3m64J,I am YOU,Stray Kids,I am YOU,2018-10-22,204239,52,0.656,0.821,11,-4.741,1,0.188,0.0158,0.0,0.131,0.671,144.972,4
3IX5K3yLw6qzCJqKV4BY91,My Side,Stray Kids,I am YOU,2018-10-22,216788,45,0.569,0.909,0,-4.485,1,0.0906,0.00388,0.0,0.184,0.347,165.989,4
5kEmWjiwh7Ox1FrPTSygvv,Hero's Soup,Stray Kids,I am YOU,2018-10-22,212481,49,0.599,0.559,4,-7.534,0,0.0615,0.307,0.0,0.263,0.0923,171.858,4
3L5yIyKQSYrNTcRhnRoDX3,Get Cool,Stray Kids,I am YOU,2018-10-22,194758,54,0.804,0.854,11,-4.194,0,0.0913,0.0893,0.0,0.27,0.9,151.955,4
7corRczwsPYmhVqHQlebSS,N/S,Stray Kids,I am YOU,2018-10-22,224042,53,0.822,0.669,4,-4.845,0,0.0548,0.00215,0.0,0.1,0.38,129.998,4
3jk3vhFkHRzwfrk1CFsTlY,0325,Stray Kids,I am YOU,2018-10-22,218442,44,0.499,0.854,9,-4.644,0,0.146,0.00718,0.0,0.17,0.59,170.032,4
0VCTvog2ACYgV2aLD0gWwL,WHO?,Stray Kids,I am WHO,2018-08-06,104995,46,0.336,0.844,5,-4.001,1,0.068,0.0421,3.7e-06,0.236,0.385,84.682,4
48MDKHuJ6qte0kAaI25JnN,My Pace,Stray Kids,I am WHO,2018-08-06,189325,57,0.682,0.83,11,-4.234,0,0.254,0.0577,0.0,0.0926,0.784,155.122,4
6SzCDH4tcbbBzB97e85YZ7,Voices,Stray Kids,I am WHO,2018-08-06,200382,51,0.648,0.87,1,-2.475,1,0.0504,0.0169,0.0,0.36,0.298,149.936,4
59k7NnrfR6gCWVFk6k1CUK,Question,Stray Kids,I am WHO,2018-08-06,182699,46,0.758,0.865,4,-2.546,0,0.0909,0.0422,0.0,0.483,0.592,98.055,4
2gZaVIT44gRC8AZfO1LCgP,Insomnia,Stray Kids,I am WHO,2018-08-06,206430,51,0.65,0.748,11,-3.764,0,0.344,0.157,0.0,0.102,0.767,167.954,4
5ewdIS0yEIdJzpwrQozZYm,M.I.A.,Stray Kids,I am WHO,2018-08-06,210737,46,0.82,0.862,0,-3.638,1,0.19,0.146,0.0,0.178,0.608,139.958,4
6qOPM7GV2Yv10hAgFEn6oN,Awkward Silence,Stray Kids,I am WHO,2018-08-06,193751,48,0.577,0.915,10,-2.582,0,0.225,0.288,0.0,0.154,0.765,199.981,4
34MjyCKTNnDNFFXBaadEsy,NOT!,Stray Kids,I am NOT,2018-03-26,82437,44,0.572,0.859,4,-6.511,0,0.333,0.0201,0.000367,0.236,0.404,170.248,3
4A0ZTqmb6131trEdQl2dBW,District 9,Stray Kids,I am NOT,2018-03-26,211762,52,0.529,0.956,9,-1.889,1,0.265,0.0122,3.49e-06,0.119,0.559,179.987,4
5Csp6koco0lc67oVdXN1ZE,Mirror,Stray Kids,I am NOT,2018-03-26,220949,44,0.669,0.829,4,-3.21,0,0.214,0.0197,0.0,0.232,0.445,92.964,4
1nX6zj8G3UF6edXU71ILfV,Awaken,Stray Kids,I am NOT,2018-03-26,193975,44,0.574,0.93,9,-1.778,0,0.231,0.218,0.0,0.507,0.598,82.014,4
2DFiDtcZIefTwohtQTgZGh,ROCK,Stray Kids,I am NOT,2018-03-26,193469,45,0.763,0.829,9,-3.448,0,0.233,0.0196,5.33e-05,0.0485,0.409,141.983,4
1tbmubQRAH84C5aTA0swK7,Grow Up,Stray Kids,I am NOT,2018-03-26,210965,46,0.544,0.934,7,-2.701,1,0.296,0.194,0.0,0.328,0.517,173.909,4
0mxkwjKKaGSh6wEMTxqfZl,3rd Eye,Stray Kids,I am NOT,2018-03-26,243960,47,0.666,0.694,8,-4.401,1,0.336,0.313,0.0,0.124,0.327,139.758,4
7mKXEaBVWuV0dMqN0gaCBm,Hellevator,Stray Kids,Mixtape,2018-01-08,240000,59,0.515,0.816,10,-2.33,1,0.165,0.00816,0.0,0.35,0.288,78.17,4
1HmlkW8pfCumUc5YG0t2Fu,BEWARE,Stray Kids,Mixtape,2018-01-08,189938,46,0.675,0.963,1,-1.884,1,0.171,0.042,0.0,0.397,0.455,97.968,4
0YVZFDS0MfqAkAmNtGgESq,Spread My Wings,Stray Kids,Mixtape,2018-01-08,200409,46,0.668,0.938,11,-2.553,0,0.109,0.169,0.0,0.32,0.615,139.952,4
7Keo3ZZNaFgFiI3inNMFod,YAYAYA,Stray Kids,Mixtape,2018-01-08,201295,46,0.67,0.928,9,-1.482,0,0.239,0.136,0.0,0.225,0.697,132.006,4
43Ell72Hn91lwlAjk6Yy3H,GLOW,Stray Kids,Mixtape,2018-01-08,204345,48,0.69,0.722,7,-4.905,1,0.083,0.398,0.0,0.327,0.604,90.023,4
5vRljtUhnm5H6kpjuXwWe6,School Life,Stray Kids,Mixtape,2018-01-08,216376,48,0.661,0.957,0,-1.602,1,0.0546,0.000527,1.11e-06,0.234,0.476,130.006,4
06LuB4b0rexIz3lWgZXTTf,4419,Stray Kids,Mixtape,2018-01-08,193087,46,0.567,0.83,6,-2.933,1,0.0566,0.391,0.0,0.07,0.659,85.951,4
0Ol6jHqFdJTFmsaISmCCqv,CIRCUS,Stray Kids,CIRCUS,2022-06-22,194440,55,0.767,0.809,5,-3.734,0,0.0958,0.0337,0.0,0.0353,0.69,97.958,4
0XZL9R2exRu1Rpw6KSAeS4,Fairytale,Stray Kids,CIRCUS,2022-06-22,172360,60,0.838,0.749,1,-3.988,1,0.0614,0.136,0.0,0.0634,0.658,120.008,4
14s7yMIqLhXW31laHmKFr9,蜘蛛の糸 (VENOM) -Japanese ver.-,Stray Kids,CIRCUS,2022-06-22,195480,53,0.819,0.804,9,-3.738,1,0.241,0.0845,0.0,0.273,0.435,136.957,4
1m699OxC2mhHsK6I0racqr,MANIAC -Japanese ver.-,Stray Kids,CIRCUS,2022-06-22,184786,49,0.731,0.759,1,-2.869,1,0.256,0.145,0.0,0.064,0.677,90.019,4
6QmZI52HcGpe1rwPVom7DX,Silent Cry -Japanese ver.-,Stray Kids,CIRCUS,2022-06-22,211226,53,0.69,0.879,5,-3.238,0,0.0729,0.15,0.0,0.331,0.589,104.049,4
23ODJKtDgVZ1Lt4YdQbH5B,Your Eyes,Stray Kids,CIRCUS,2022-06-22,196386,50,0.782,0.533,2,-6.178,1,0.0417,0.169,0.0,0.228,0.585,129.82,4
2uw2ftfyS4yJLWiTtbxasE,CIRCUS,Stray Kids,CIRCUS,2022-06-10,194440,76,0.767,0.809,5,-3.734,0,0.0958,0.0337,0.0,0.0353,0.69,97.958,4
25nbyqD4oqWU0RaXuAc74t,Your Eyes,Stray Kids,Your Eyes,2022-06-01,196386,67,0.782,0.533,2,-6.178,1,0.0417,0.169,0.0,0.228,0.585,129.82,4
